"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"alpha"	3727.379	2	1.56104	1.77239	1.45612	1.29281	1.40847	1.3821	1.39581	1.42951	1.4685	1.50562	1.53659	1.56177	1.58268	1.59765	1.60998	1.61886	1.62542	1.63018	1.63381	1.63537	1.63655	1.6364	1.63564	1.63459	1.63297	1.63089	1.6283	1.62536	1.62249	1.61981	1.61668	1.61359	1.61031	1.6073	1.60382	1.60097	1.59775	1.59473	1.59156	1.58948	1.58629	1.5838	1.58069	1.57843	1.57544
"B10"	9324.436693	5	0.017157	0.0882149	0.0820907	0.0708365	0.100024	0.110811	0.119215	0.122589	0.122331	0.119891	0.116823	0.113722	0.111	0.108525	0.106618	0.10505	0.103679	0.102609	0.101778	0.101055	0.100639	0.100086	0.0995977	0.099352	0.098994	0.0987248	0.0984797	0.0982615	0.0980484	0.0980363	0.0977601	0.0977464	0.0978789	0.0976983	0.0976468	0.0975226	0.09748	0.0974476	0.0974802	0.0973735	0.0973483	0.0973543	0.0972318	0.0970966	0.0971407
"B11"	10252.54792	5	0.0312735	0.0974274	0.0754744	0.0690444	0.254979	0.272645	0.272751	0.265321	0.255861	0.246846	0.239483	0.233704	0.228873	0.225271	0.222478	0.220453	0.218886	0.217345	0.216039	0.215119	0.213989	0.213385	0.212721	0.21208	0.211593	0.211011	0.210819	0.210673	0.210274	0.210124	0.210031	0.209823	0.209619	0.209425	0.209391	0.209241	0.209181	0.208977	0.208685	0.208447	0.208234	0.207903	0.207758	0.207502	0.207295
"B12"	11188.74292	5	0.000258533	0.00803407	0.00659363	0.00623927	0.0342161	0.0297122	0.0237485	0.0189242	0.0156589	0.0134077	0.0118454	0.0106795	0.00974543	0.00896113	0.0083084	0.00770913	0.00714147	0.00665727	0.0062374	0.0058077	0.00542937	0.00509687	0.00480987	0.00451387	0.0042677	0.0040212	0.00382733	0.00362433	0.00342507	0.0032525	0.00309117	0.0029672	0.00282823	0.002724	0.0025889	0.00250097	0.00239927	0.00233347	0.00226277	0.00217867	0.00213653	0.0020771	0.00200613	0.0019752	0.00191343
"B13"	12123.43021	5	0	3.76e-05	6.36667e-06	8.6e-06	0.00475948	0.0019777	0.000584733	0.0001528	3.47e-05	8.26667e-06	1.73333e-06	3.33333e-07	1.33333e-07	0	0	0	0	0	0	1e-07	3.33333e-08	3.33333e-08	6.66667e-08	1e-07	1e-07	2.66667e-07	2.33333e-07	5.66667e-07	4.33333e-07	7e-07	7.66667e-07	9e-07	1.16667e-06	1.03333e-06	9e-07	9.33333e-07	7.66667e-07	6.33333e-07	7.33333e-07	4e-07	7.66667e-07	6e-07	7.66667e-07	8e-07	5.66667e-07
"B14"	13062.02576	5	0	3.76667e-06	1.2e-06	4.66667e-07	0.000296276	3.25333e-05	2.16667e-06	1e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B15"	13998.82838	5	0	6.66667e-08	1e-07	3.33333e-08	4.41379e-06	1.33333e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B8"	7472.319396	5	0.0001048	9.31667e-05	6.66667e-06	7.66667e-07	0.000193276	0.000197467	0.0002151	0.000236867	0.000255633	0.000282833	0.0002897	0.000294233	0.000307967	0.000307533	0.000309767	0.000302333	0.0002972	0.0002987	0.000296667	0.0002952	0.0002887	0.000286667	0.000288467	0.0002801	0.000282167	0.0002777	0.000277833	0.0002755	0.0002775	0.000270967	0.0002753	0.000272967	0.000273833	0.0002729	0.000276233	0.000274467	0.000276933	0.0002737	0.000274467	0.000269933	0.000276733	0.0002762	0.000279933	0.000282867	0.000283367
"Be10"	9325.503351	4	0.000476533	0.0161159	0.0176923	0.0170107	0.031937	0.0440872	0.0523888	0.0553522	0.0548696	0.0527017	0.0500197	0.0470723	0.044523	0.0422263	0.0401644	0.0384285	0.0369166	0.0357147	0.0346388	0.0336963	0.0328838	0.0322662	0.0316326	0.0311539	0.0307345	0.0303995	0.0300112	0.0297436	0.0295659	0.0293459	0.0291955	0.0290606	0.0290151	0.0289076	0.0288436	0.0288095	0.0288007	0.0287247	0.028683	0.0287068	0.0286359	0.0286099	0.0286447	0.0286513	0.0286884
"Be11"	10264.56477	4	1.23333e-06	3.2e-06	4.66667e-07	2e-07	0.000559586	0.000889667	0.00101527	0.000967967	0.000873367	0.0007742	0.000685833	0.000606033	0.000534633	0.000481067	0.000439033	0.000397167	0.0003677	0.000342467	0.0003193	0.000298833	0.0002861	0.000270267	0.000257	0.000245667	0.000232533	0.0002232	0.0002148	0.000208	0.000199	0.000194567	0.0001857	0.000176933	0.000173667	0.0001724	0.000170533	0.0001625	0.000157833	0.000154867	0.000146233	0.0001482	0.0001443	0.000140233	0.0001414	0.000140067	0.000137667
"Be12"	11200.96124	4	0	2.33333e-07	3e-07	1e-07	0.00290717	0.0027594	0.00202933	0.0013623	0.000918833	0.000641667	0.000480933	0.000365633	0.0002827	0.000232767	0.000190767	0.0001563	0.0001356	0.000111333	9.72e-05	8.28333e-05	7.31667e-05	6.53667e-05	5.56333e-05	4.94667e-05	4.30667e-05	3.88667e-05	3.40667e-05	3.28667e-05	2.9e-05	2.64333e-05	2.28667e-05	2.15667e-05	2.01667e-05	1.91667e-05	1.80667e-05	1.69667e-05	1.58333e-05	1.61e-05	1.53e-05	1.48667e-05	1.53e-05	1.42e-05	1.42e-05	1.38e-05	1.27e-05
"Be14"	13078.82729	4	0	0	0	0	2.6069e-05	4.03333e-06	4e-07	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Be7"	6534.184631	4	0.0083369	0.0354007	0.0386161	0.0410803	0.0938747	0.0946076	0.0952854	0.0963557	0.0973301	0.0977577	0.0976852	0.0973132	0.0967376	0.0961466	0.0954639	0.0949157	0.0943606	0.0938716	0.0933649	0.0929996	0.0924126	0.0920288	0.0915749	0.0910592	0.0904671	0.0901619	0.0897355	0.0892528	0.0889718	0.088476	0.088029	0.0876189	0.0873329	0.0869246	0.0866348	0.086252	0.0860077	0.0857825	0.0856231	0.0852556	0.0849216	0.0847153	0.0845298	0.0843119	0.0840802
