"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"Al22"	20504.41527	13	0	0	0	0	1.33333e-07	1e-07	3.66667e-07	5e-07	6.33333e-07	8.33333e-07	6e-07	8.66667e-07	1.5e-06	1.26667e-06	1.13333e-06	1.63333e-06	1.3e-06	1.73333e-06	1.43333e-06	1.8e-06	1.56667e-06	2.3e-06	2.53333e-06	2.6e-06	2.53333e-06	2.73333e-06	2.3e-06	2.8e-06	2.73333e-06	2.96667e-06	3.2e-06	2.86667e-06	3.2e-06	3.33333e-06	2.6e-06	3.16667e-06	3.23333e-06	3e-06	3.43333e-06	3.23333e-06	3.86667e-06	4.16667e-06	3.96667e-06	3.1e-06	3.56667e-06
"Al23"	21424.49586	13	0	0	0	0	1.2e-06	2.7e-06	3.8e-06	3.66667e-06	6e-06	5.86667e-06	6.46667e-06	6.13333e-06	7.4e-06	8.23333e-06	7.63333e-06	6.3e-06	8.96667e-06	1.02e-05	8.76667e-06	1.00667e-05	9.96667e-06	9.56667e-06	1.04333e-05	1.00333e-05	1.15333e-05	1.19667e-05	1.09667e-05	1.02e-05	1.12333e-05	1.17667e-05	1.21333e-05	1.19e-05	1.05333e-05	1.17667e-05	1.27667e-05	1.24667e-05	1.36667e-05	1.31e-05	1.41e-05	1.39667e-05	1.40667e-05	1.41667e-05	1.45667e-05	1.56667e-05	1.59667e-05
"Al24"	22349.16338	13	0	0	0	2e-07	3.19667e-05	4.82667e-05	6.13667e-05	6.73333e-05	7.40333e-05	8.01667e-05	8.48e-05	8.74e-05	9.07667e-05	9.69333e-05	9.98e-05	9.91333e-05	0.0001024	9.82333e-05	0.000107833	0.0001063	0.000104433	0.000108	0.000109333	0.000113133	0.000114033	0.0001096	0.000112433	0.000107033	0.000112633	0.000115533	0.0001154	0.000116667	0.0001157	0.000113867	0.000116533	0.000116867	0.000120333	0.000120833	0.0001199	0.000121633	0.0001242	0.000126667	0.000125533	0.000124067	0.000127567
"Al25"	23271.79818	13	0	2e-07	9e-07	3.83333e-06	0.000504567	0.000612467	0.000679067	0.000709367	0.0007367	0.000760967	0.000766233	0.0007851	0.000795433	0.000799433	0.000800033	0.000807567	0.000805233	0.0008096	0.0008158	0.0008192	0.000817	0.000814133	0.000811933	0.0008207	0.000816967	0.000814733	0.000811367	0.000813467	0.0008275	0.000816833	0.0008102	0.0008301	0.000818767	0.0008225	0.000835367	0.000821	0.0008242	0.0008325	0.000822167	0.0008238	0.000835933	0.000838033	0.000835133	0.0008279	0.000843233
"Al26"	24199.99807	13	5.66667e-07	1.61333e-05	8.36e-05	0.000290333	0.0160612	0.0171985	0.0173961	0.0174841	0.0175027	0.0175492	0.0175575	0.0174946	0.0174352	0.0173626	0.0172568	0.0171894	0.0170905	0.0170786	0.0169558	0.0169341	0.0168618	0.0167965	0.016777	0.0167145	0.0166459	0.0166079	0.0166317	0.0165354	0.0165061	0.01648	0.0164737	0.0164336	0.0163997	0.0163373	0.016323	0.0163006	0.0162982	0.0162726	0.0162299	0.0162213	0.016219	0.0162103	0.0161442	0.0161552	0.0161014
"Al27"	25126.50575	13	3.1e-06	8.84333e-05	0.000416333	0.0012148	0.0350434	0.0355224	0.0350655	0.0347993	0.0345527	0.0342876	0.0339928	0.033825	0.0335515	0.0333506	0.0331536	0.0328724	0.0327332	0.032574	0.0324516	0.0322273	0.0321471	0.0319842	0.0319157	0.0317943	0.0316676	0.0316307	0.0314941	0.0314452	0.0312985	0.0312868	0.0311819	0.0311592	0.0311007	0.0309657	0.0309562	0.0308868	0.0308605	0.0307612	0.0306992	0.0306813	0.0306544	0.0305464	0.0304888	0.0304246	0.03034
"Al28"	26058.34599	13	8e-07	3.06667e-05	0.0001329	0.000364567	0.0063109	0.0061858	0.00604333	0.005901	0.0058369	0.00574753	0.00573917	0.00567523	0.0056173	0.00559027	0.00554287	0.00545617	0.0054453	0.00542983	0.00540197	0.00536067	0.00536903	0.0053423	0.0053016	0.00528237	0.00528697	0.00524167	0.00521457	0.00519823	0.00521523	0.00521003	0.0051849	0.00514243	0.00519673	0.00515577	0.00516347	0.0051383	0.00512103	0.0050768	0.00511273	0.00510917	0.00510817	0.0050947	0.00508217	0.005085	0.00509517
"Al29"	26988.47514	13	1e-07	3.4e-06	2.14e-05	6.35667e-05	0.00102817	0.00101147	0.000991833	0.000996433	0.000987433	0.000987067	0.0009917	0.000999	0.000993167	0.0009923	0.0010068	0.0009924	0.0009842	0.0009798	0.000978733	0.000986067	0.0009858	0.000982533	0.0009859	0.0009756	0.0009726	0.0009755	0.0009717	0.0009771	0.000962867	0.0009554	0.0009752	0.000968967	0.0009624	0.0009611	0.000964867	0.000959467	0.0009673	0.000962533	0.000968333	0.000977133	0.000969733	0.000996067	0.000976967	0.000997733	0.0009922
"Al30"	27922.31207	13	0	5.66667e-07	2.56667e-06	7.13333e-06	8.73e-05	8.61333e-05	9.11667e-05	9.18333e-05	9.61667e-05	9.86333e-05	0.000101167	0.0001031	9.95333e-05	0.000108733	0.0001099	0.000110267	0.0001114	0.000112833	0.000111833	0.0001159	0.000109867	0.000111933	0.000113767	0.000116467	0.000114933	0.000113867	0.000116033	0.0001144	0.0001126	0.000114833	0.0001164	0.000117767	0.000116667	0.000116633	0.000118867	0.000116567	0.000116033	0.000120633	0.000121	0.0001204	0.000123533	0.000126467	0.000129433	0.0001306	0.0001327
"Al31"	28854.72489	13	0	0	6.66667e-08	2.33333e-07	6.03333e-06	7.7e-06	9.43333e-06	1.06e-05	1.33667e-05	1.55667e-05	1.78667e-05	2.09e-05	2.25e-05	2.31e-05	2.57333e-05	2.67333e-05	2.7e-05	2.82667e-05	2.54333e-05	2.81667e-05	3.11667e-05	2.87333e-05	2.98e-05	2.92333e-05	3.12e-05	3.05667e-05	3.16333e-05	2.93667e-05	2.92333e-05	2.94667e-05	2.88667e-05	3.29e-05	3.23667e-05	3.26667e-05	3.27667e-05	3.36667e-05	3.18667e-05	3.33667e-05	3.31667e-05	3.59e-05	3.72333e-05	3.97667e-05	4.08e-05	4.24e-05	4.61e-05
