"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"alpha"	3727.379	2	0	2.11011	0.981425	0.891952	0.931546	0.907066	0.896494	0.896745	0.89492	0.889011	0.881944	0.87467	0.866344	0.85903	0.85293	0.847136	0.842328	0.838103	0.833558	0.829989	0.827119	0.824674	0.822808	0.821206	0.81939	0.817973	0.816803	0.815372	0.814137	0.813078	0.811829	0.810979	0.809328	0.808087	0.806837	0.80569	0.804198	0.802735	0.801933	0.800633	0.799118	0.798094	0.796778	0.795861	0.794535
"B10"	9324.436693	5	0	0	0.0997686	0.09283	0.0626586	0.0739269	0.0785937	0.0799199	0.0787582	0.0775301	0.0763162	0.0752578	0.0743888	0.0737295	0.0731905	0.0728656	0.0724266	0.0720654	0.0716608	0.0712169	0.0708134	0.0704463	0.0699141	0.0693286	0.0688802	0.0684621	0.0679794	0.0675285	0.0670502	0.0665877	0.0661864	0.0658034	0.0655446	0.065199	0.0650202	0.0648313	0.0645604	0.0644413	0.0643173	0.0641519	0.0639981	0.0638241	0.0635928	0.0633585	0.0631805
"B11"	10252.54792	5	0	0	0.0774126	0.115222	0.110845	0.107703	0.102135	0.0984646	0.0963031	0.0959246	0.0969245	0.0988099	0.101187	0.10392	0.106911	0.109938	0.112808	0.115741	0.118284	0.120824	0.123106	0.125311	0.127373	0.129296	0.131126	0.132868	0.134546	0.136088	0.137507	0.139113	0.140534	0.141999	0.143404	0.144808	0.14614	0.147563	0.148986	0.15029	0.151557	0.152983	0.154234	0.155682	0.156953	0.158292	0.159612
"B12"	11188.74292	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	0	6.66667e-08	1e-07	3e-07	5.33333e-07	1.2e-06	2.36667e-06	4.36667e-06	8.6e-06	1.64e-05	2.78333e-05	4.51e-05	6.87333e-05	9.69e-05	0.000133133	0.000170767	0.0002161	0.000271833	0.00032	0.000382567	0.0004346	0.000493533	0.0005525	0.0006067	0.0006623	0.0007223	0.0007749	0.000822767
"B13"	12123.43021	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	0
"B8"	7472.319396	5	0	0	0	0	0	0	3.33333e-08	3.33333e-08	6.66667e-08	2e-07	5.33333e-07	6.33333e-07	1.46667e-06	1.23333e-06	1.63333e-06	2.2e-06	2.46667e-06	2.93333e-06	3.5e-06	3.7e-06	4.4e-06	4.23333e-06	3.96667e-06	4.5e-06	4.13333e-06	4.76667e-06	5.13333e-06	5e-06	5.16667e-06	5.83333e-06	5.56667e-06	4.83333e-06	5.93333e-06	6.26667e-06	6.13333e-06	5.66667e-06	5.73333e-06	5.23333e-06	6.13333e-06	6.6e-06	6.03333e-06	6.2e-06	6.73333e-06	6.6e-06	8.03333e-06
"Be10"	9325.503351	4	0	0	0	0.0001002	0.0016693	0.0036779	0.00492087	0.00570193	0.0062883	0.00670863	0.0071161	0.00746243	0.00776793	0.0081046	0.00839937	0.00876403	0.00904253	0.00935883	0.00961423	0.00990013	0.0101565	0.010417	0.0106784	0.0109106	0.0111115	0.0112969	0.0114785	0.0116074	0.0117403	0.0119136	0.0120752	0.012205	0.0123511	0.0125469	0.0127482	0.0129833	0.0132612	0.0135751	0.0138876	0.0142811	0.01467	0.0150852	0.0154972	0.0159186	0.0163529
"Be11"	10264.56477	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	3.33333e-08	3.33333e-08	3e-07	4.66667e-07	8e-07	1.03333e-06	2.26667e-06	3.6e-06	4.5e-06	6.3e-06	9.33333e-06	1.23333e-05	1.47333e-05	1.62333e-05	1.83667e-05	2.24333e-05	2.52667e-05	2.73667e-05	2.81e-05	3.17333e-05	3.56e-05	3.64667e-05
"Be7"	6534.184631	4	0	0	0.0637741	0.162725	0.115513	0.109973	0.105202	0.10078	0.0976008	0.0946382	0.0921339	0.0897341	0.0874144	0.0855213	0.0837436	0.0819382	0.0804063	0.0790724	0.0778636	0.0767064	0.075558	0.0745244	0.0737052	0.0727505	0.0719566	0.07122	0.0706143	0.0699264	0.0692492	0.0686243	0.0680332	0.0675912	0.0671294	0.0666421	0.0662058	0.0656772	0.0652529	0.0647552	0.0642049	0.0637175	0.0631874	0.0625585	0.0620889	0.0615353	0.0609948
"Be9"	8392.750301	4	0	0	0	0.0107509	0.0061856	0.00819453	0.010212	0.0117326	0.0125446	0.0130864	0.0134836	0.0136726	0.0138688	0.0140609	0.0141801	0.0143138	0.0144331	0.0145494	0.0146332	0.0147415	0.014836	0.0149233	0.0150086	0.0150832	0.015181	0.0152761	0.0153993	0.0155073	0.015639	0.0157213	0.0158857	0.0160776	0.0162016	0.0163392	0.0165253	0.0167049	0.0168589	0.0170248	0.0171653	0.0173243	0.0174423	0.0175665	0.0177093	0.017823	0.0179737
