"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"Al22"	20504.41527	13	0	0	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Al23"	21424.49586	13	9e-07	2e-07	2.33333e-07	3.33333e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Al24"	22349.16338	13	0.000106	3.1e-06	1.96667e-06	8.33333e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Al25"	23271.79818	13	0.0003132	7.86667e-06	2.23333e-06	8.33333e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Al26"	24199.99807	13	0.0001769	4.75333e-05	1.08667e-05	2.9e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Al27"	25126.50575	13	0.000111933	3.48333e-05	6.3e-06	1.9e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"alpha"	3727.379	2	1.15652	1.73667	1.41354	1.22649	1.26141	1.22695	1.21523	1.2168	1.2266	1.24148	1.25925	1.27737	1.29501	1.31038	1.32482	1.33741	1.34842	1.35809	1.36653	1.3739	1.3807	1.38646	1.39085	1.39478	1.39828	1.40058	1.40302	1.40462	1.40557	1.40647	1.40694	1.40735	1.40818	1.40805	1.40778	1.40739	1.40729	1.40639	1.40648	1.40606	1.40568	1.40483	1.40436	1.40382	1.40266
"B10"	9324.436693	5	0.0016067	0.0179775	0.0259845	0.029183	0.0796258	0.080503	0.0805333	0.0806314	0.080721	0.0809969	0.0811984	0.0814448	0.0814751	0.0816661	0.0816982	0.0817089	0.0819386	0.0820051	0.0820662	0.082309	0.0825403	0.0825187	0.0826602	0.0826245	0.0826569	0.0827366	0.0826355	0.0825339	0.0823945	0.0823062	0.0821081	0.0818141	0.0816491	0.0814944	0.0813369	0.0809945	0.0808466	0.0806124	0.0804332	0.0801608	0.0800191	0.0798289	0.0796937	0.0793961	0.0792496
"B11"	10252.54792	5	0.00392783	0.0273394	0.0347055	0.0381479	0.128232	0.128978	0.128996	0.129197	0.12949	0.129163	0.128663	0.128232	0.127834	0.127457	0.127177	0.126961	0.126865	0.126861	0.126609	0.126517	0.126329	0.126097	0.125845	0.125583	0.12536	0.124992	0.124626	0.124242	0.12411	0.123758	0.123481	0.123214	0.122874	0.122652	0.122349	0.122112	0.12189	0.121651	0.121391	0.121112	0.120882	0.120746	0.120471	0.120393	0.120227
"B12"	11188.74292	5	0.000103767	0.00196533	0.0027969	0.0033951	0.00551033	0.00628803	0.00763083	0.0088179	0.0096714	0.0101216	0.010286	0.0102695	0.0101025	0.0098852	0.00963263	0.0093664	0.00908513	0.0088447	0.00859613	0.00839193	0.0081921	0.00803603	0.00787747	0.0077527	0.00763087	0.00746947	0.00735883	0.0072417	0.0071401	0.007066	0.006984	0.00694253	0.0068625	0.00678843	0.00675087	0.00670843	0.0066692	0.006656	0.0066012	0.00659687	0.00658023	0.00653523	0.00655497	0.0065103	0.00651417
